現地コード,銘柄名(English),銘柄名,市場,業種
00001,CK HUTCHISON HOLDINGS LIMITED,CK ハチソン（長江和記実業）,香港,不動産業
00002,CLP HOLDINGS LIMITED,CLP（中電控股）,香港,電力・ガス
00003,THE HONG KONG AND CHINA GAS COMPANY LIMITED,ホンコン・チャイナガス（香港中華煤気）,香港,電力・ガス
00004,THE WHARF (HOLDINGS) LIMITED,ワーフ（九龍倉集団）,香港,不動産業
00005,HSBC HOLDINGS PLC,HSBC（匯豊控股）,香港,金融・保険業（銀行業）
00006,POWER ASSETS HOLDINGS LIMITED,パワー・アセッツ（電能実業）,香港,電力・ガス
00008,PCCW LIMITED,PCCW（電訊盈科）,香港,通信業
00010,HANG LUNG GROUP LTD,ハンルン・グループ（恒隆集団）,香港,不動産業
00011,HANG SENG BANK LIMITED,ハンセン銀行（恒生銀行）,香港,金融・保険業（銀行業）
00012,HENDERSON LAND DEVELOPMENT COMPANY LIMITED,ヘンダーソンランド（恒基兆業地産）,香港,不動産業
00013,HUTCHMED (CHINA) LTD.,ハチメッド・チャイナ（和黄医薬中国）,香港,医薬品
00014,HYSAN DEVELOPMENT COMPANY LIMITED,ハイサン・デベロプメント（希慎興業）,香港,不動産業
00016,SUN HUNG KAI PROPERTIES LIMITED,サンフンカイ・プロパティーズ（新鴻基地産発展）,香港,不動産業
00017,NEW WORLD DEVELOPMENT COMPANY LIMITED,ニューワールド・デベロップメント（新世界発展）,香港,不動産業
00018,ORIENTAL ENTERPRISE HOLDINGS LIMITED,オリエンタル・エンタープライズ・ホールディングス（東方企控集団）,香港,その他製品
00019,SWIRE PACIFIC LIMITED,スワイヤ・パシフィックＡ（太古公司A）,香港,不動産業
00020,SENSETIME GROUP INC.,センスタイム・グループ（商湯集団）,香港,サービス業（ソフトウェア・情報処理）
00023,"THE BANK OF EAST ASIA, LIMITED",バンク・オブ・イーストアジア（東亜銀行）,香港,金融・保険業（銀行業）
00026,"CHINA MOTOR BUS CO.,LTD.",チャイナ・モーター・バス（中華汽車）,香港,不動産業
00027,GALAXY ENTERTAINMENT GROUP LTD.,ギャラクシー・エンターテイメント（銀河娯楽集団）,香港,サービス業（娯楽）
00031,CHINA AEROSPACE INTERNATIONAL HOLDINGS LTD.,チャイナ・エアロスペース（中国航天国際控股）,香港,電気・電子機器（その他）
00034,"KOWLOON DEVELOPMENT CO.,LTD.",クーロン・デベロプメント（九龍建業）,香港,不動産業
00035,FAR EAST CONSORTIUM INTERNATIONAL LTD.,ファーイースト・コンソーシアム（遠東発展）,香港,不動産業
00038,"FIRST TRACTOR CO.,LTD.",ファーストトラクター（第一托拉機）,香港,機械
00041,GREAT EAGLE HOLDINGS LIMITED,グレート・イーグル（鷹君集団）,香港,不動産業
00042,"NORTHEAST ELECTRIC DEVELOPMENT CO.,LTD.",ノースイースト・エレクトリック（東北電気発展）,香港,電気・電子機器（その他）
00045,"THE HONGKONG & SHANGHAI HOTELS,LTD.",ホンコン・シャンハイ・ホテルズ（香港上海大酒店）,香港,サービス業（宿泊施設）
00050,"HONG KONG FERRY (HOLDINGS) CO.,LTD.",ホンコン・フェリー（香港小輪）,香港,不動産業
00052,FAIRWOOD HOLDINGS LTD.,フェアウッド・ホールディングス（大快活集団）,香港,小売業（外食）
00057,CHEN HSONG HOLDINGS LTD.,チェンション・ホールディングス（震雄集団）,香港,機械
